sphere_id,house,house_name,sphere_name,lead_seat,lead_score,federation_max,coverage_depth,seduction_risk,S1_Anthropic,S2_Alphabet,S3_Muskverse,S4_Microsoft,S5_DeepSeek,S6_OpenAI,S7_Manus,S8_Notion,Amazon,S10_Qwen3
S001,H01,Natural Sciences,Physics,S2_Alphabet,0.7,0.7,SUBSTANTIAL,False,0.2,0.7,0.4,0.3,0.2,0.3,0.0,0.0,0.2,0.1
S002,H01,Natural Sciences,Chemistry,S2_Alphabet,0.6,0.6,SUBSTANTIAL,False,0.1,0.6,0.3,0.3,0.2,0.2,0.0,0.0,0.3,0.2
S003,H01,Natural Sciences,Biology,S2_Alphabet,0.7,0.7,SUBSTANTIAL,False,0.2,0.7,0.2,0.4,0.1,0.3,0.0,0.0,0.3,0.1
S004,H01,Natural Sciences,Astronomy,S2_Alphabet,0.6,0.6,SUBSTANTIAL,False,0.1,0.6,0.5,0.3,0.1,0.2,0.0,0.0,0.2,0.1
S005,H01,Natural Sciences,Geology,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.0,0.5,0.3,0.3,0.0,0.1,0.0,0.0,0.1,0.0
S006,H01,Natural Sciences,Oceanography,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.0,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.2,0.0
S007,H01,Natural Sciences,Meteorology,S2_Alphabet,0.7,0.7,SUBSTANTIAL,False,0.1,0.7,0.2,0.4,0.1,0.2,0.0,0.0,0.3,0.1
S008,H01,Natural Sciences,Ecology,S2_Alphabet,0.6,0.6,SUBSTANTIAL,False,0.1,0.6,0.2,0.3,0.1,0.2,0.0,0.0,0.3,0.1
S009,H01,Natural Sciences,Botany,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.0,0.3,0.1,0.2,0.0,0.1,0.0,0.0,0.3,0.0
S010,H01,Natural Sciences,Zoology,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.0,0.3,0.1,0.2,0.0,0.1,0.0,0.0,0.2,0.0
S011,H01,Natural Sciences,Microbiology,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.1,0.4,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S012,H01,Natural Sciences,Genetics,S2_Alphabet,0.6,0.6,SUBSTANTIAL,False,0.2,0.6,0.2,0.4,0.1,0.3,0.0,0.0,0.3,0.1
S013,H02,Formal Sciences,Mathematics,S2_Alphabet,0.8,0.8,DEEP,False,0.7,0.8,0.3,0.7,0.7,0.7,0.2,0.1,0.5,0.5
S014,H02,Formal Sciences,Logic,S1_Anthropic,0.8,0.8,DEEP,False,0.8,0.7,0.2,0.6,0.6,0.6,0.2,0.1,0.4,0.4
S015,H02,Formal Sciences,Statistics,S1_Anthropic,0.8,0.8,DEEP,False,0.8,0.8,0.3,0.7,0.6,0.7,0.2,0.1,0.6,0.5
S016,H02,Formal Sciences,Computer Science,S1_Anthropic,0.9,0.9,DEEP,False,0.9,0.9,0.5,0.9,0.8,0.8,0.5,0.3,0.8,0.7
S017,H02,Formal Sciences,Information Theory,S2_Alphabet,0.8,0.8,DEEP,False,0.7,0.8,0.2,0.6,0.5,0.6,0.2,0.2,0.5,0.4
S018,H02,Formal Sciences,Game Theory,S1_Anthropic,0.6,0.6,SUBSTANTIAL,False,0.6,0.5,0.2,0.5,0.4,0.5,0.1,0.0,0.3,0.3
S019,H02,Formal Sciences,Operations Research,S2_Alphabet,0.6,0.6,SUBSTANTIAL,False,0.4,0.6,0.3,0.6,0.4,0.5,0.2,0.1,0.5,0.4
S020,H02,Formal Sciences,Systems Theory,S1_Anthropic,0.7,0.7,SUBSTANTIAL,False,0.7,0.7,0.4,0.6,0.5,0.6,0.3,0.2,0.5,0.4
S021,H02,Formal Sciences,Decision Theory,S1_Anthropic,0.8,0.8,DEEP,False,0.8,0.6,0.3,0.6,0.5,0.6,0.2,0.1,0.4,0.4
S022,H02,Formal Sciences,Cryptography,S2_Alphabet,0.7,0.7,SUBSTANTIAL,False,0.3,0.7,0.3,0.6,0.4,0.4,0.2,0.1,0.4,0.3
